pull,timestamp,windows,risk_mean,risks,attack_ratio
171,22:43:18,70,0.536,0.50;0.52;0.52;0.62;0.52,0.44285714285714284
172,22:44:11,329,0.04,0.04;0.04;0.04;0.04;0.04,0.02127659574468085
173,22:44:48,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
174,22:45:38,17,0.9359999999999999,0.96;0.88;0.98;0.88;0.98,0.7647058823529411
175,22:46:15,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
176,22:46:59,11,0.992,0.98;1.00;1.00;0.98;1.00,0.8181818181818182
177,22:47:44,255,0.484,0.48;0.40;0.52;0.48;0.54,0.2196078431372549
178,22:48:21,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
179,22:48:58,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
180,22:49:35,3,0.0,0.00;0.00;0.00;0.00;0.00,1.0
181,22:50:21,277,0.508,0.64;0.52;0.54;0.40;0.44,0.19855595667870035
182,22:50:58,5,0.616,0.72;0.68;0.54;0.54;0.60,0.6
183,22:51:53,538,0.14,0.14;0.14;0.14;0.14;0.14,0.013011152416356878
184,22:52:46,553,0.156,0.18;0.12;0.18;0.12;0.18,0.012658227848101266
185,22:53:32,242,0.5760000000000001,0.54;0.56;0.60;0.58;0.60,0.2231404958677686
186,22:54:26,539,0.136,0.16;0.10;0.16;0.10;0.16,0.012987012987012988
187,22:55:17,90,0.536,0.52;0.48;0.54;0.56;0.58,0.5555555555555556
188,22:56:03,342,0.312,0.30;0.30;0.32;0.32;0.32,0.008771929824561403
189,22:56:50,440,0.15200000000000002,0.16;0.14;0.16;0.14;0.16,0.006818181818181818
190,22:57:41,228,0.512,0.72;0.50;0.50;0.40;0.44,0.25877192982456143
191,22:58:31,23,0.652,0.78;0.58;0.66;0.62;0.62,0.6521739130434783
192,22:59:27,449,0.136,0.16;0.10;0.16;0.10;0.16,0.015590200445434299
193,23:00:21,331,0.152,0.16;0.16;0.12;0.16;0.16,0.021148036253776436
194,23:01:11,22,0.6719999999999999,0.60;0.64;0.70;0.74;0.68,0.6363636363636364
195,23:02:01,18,0.884,0.88;0.90;0.86;0.92;0.86,0.7222222222222222
196,23:02:38,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
197,23:03:30,255,0.396,0.38;0.46;0.40;0.32;0.42,0.22745098039215686
198,23:04:17,436,0.18400000000000002,0.16;0.20;0.20;0.16;0.20,0.006880733944954129
199,23:04:54,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
200,23:05:31,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
201,23:06:15,54,0.6880000000000001,0.60;0.70;0.68;0.72;0.74,0.3333333333333333
202,23:07:01,270,0.43599999999999994,0.46;0.42;0.48;0.38;0.44,0.2074074074074074
203,23:07:51,27,0.548,0.66;0.52;0.42;0.54;0.60,0.5555555555555556
204,23:08:41,18,0.9640000000000001,1.00;1.00;0.94;0.94;0.94,0.8333333333333334
205,23:09:30,533,0.1,0.10;0.10;0.10;0.10;0.10,0.005628517823639775
206,23:10:17,512,0.132,0.14;0.12;0.14;0.12;0.14,0.005859375
207,23:11:01,11,0.984,0.98;0.98;1.00;0.96;1.00,0.8181818181818182
208,23:11:52,15,0.8320000000000001,0.84;0.90;0.82;0.78;0.82,0.8
209,23:12:35,13,0.976,0.96;0.96;1.00;0.96;1.00,0.8461538461538461
210,23:13:12,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
211,23:13:49,6,0.596,0.68;0.62;0.50;0.60;0.58,0.6666666666666666
212,23:14:37,542,0.14,0.14;0.14;0.14;0.14;0.14,0.005535055350553505
213,23:15:14,4,0.9039999999999999,0.94;0.96;0.94;0.94;0.74,0.75
214,23:15:51,4,0.908,0.94;0.96;0.94;0.94;0.76,0.75
215,23:16:27,4,0.9280000000000002,0.92;0.92;0.92;0.92;0.96,0.75
216,23:17:14,406,0.18800000000000003,0.20;0.20;0.20;0.14;0.20,0.007389162561576354
217,23:17:51,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
218,23:18:46,486,0.10800000000000001,0.14;0.06;0.14;0.06;0.14,0.01440329218106996
219,23:19:36,16,0.9640000000000001,1.00;1.00;0.94;0.94;0.94,0.8125
220,23:20:23,406,0.248,0.26;0.26;0.26;0.20;0.26,0.007389162561576354
221,23:21:16,338,0.508,0.70;0.54;0.40;0.48;0.42,0.0621301775147929
222,23:21:52,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
223,23:22:36,17,0.48,0.48;0.42;0.46;0.54;0.50,0.5294117647058824
224,23:23:27,73,0.42400000000000004,0.48;0.48;0.30;0.46;0.40,0.4657534246575342
225,23:24:19,252,0.536,0.52;0.68;0.52;0.48;0.48,0.23809523809523808
226,23:25:03,48,0.5760000000000001,0.52;0.68;0.56;0.54;0.58,0.22916666666666666
227,23:25:48,248,0.6920000000000001,0.70;0.76;0.66;0.66;0.68,0.2217741935483871
228,23:26:25,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
229,23:27:17,5,0.636,0.72;0.68;0.60;0.54;0.64,0.6
230,23:28:33,71,0.376,0.58;0.36;0.34;0.30;0.30,0.4225352112676056
231,23:30:08,256,0.45200000000000007,0.40;0.46;0.48;0.52;0.40,0.234375
232,23:32:19,252,0.6960000000000001,0.76;0.68;0.68;0.68;0.68,0.2261904761904762
233,23:34:08,346,0.13999999999999999,0.12;0.12;0.16;0.12;0.18,0.02023121387283237
234,23:36:02,254,0.648,0.68;0.64;0.64;0.64;0.64,0.2283464566929134
235,23:37:19,286,0.492,0.54;0.50;0.44;0.52;0.46,0.17832167832167833
236,23:39:01,21,0.4120000000000001,0.40;0.46;0.40;0.30;0.50,0.42857142857142855
237,23:40:10,11,0.9879999999999999,0.98;0.98;1.00;0.98;1.00,0.8181818181818182
238,23:41:45,71,0.4,0.48;0.42;0.34;0.38;0.38,0.4507042253521127
239,23:42:36,6,0.5800000000000001,0.68;0.62;0.52;0.50;0.58,0.6666666666666666
240,23:43:52,15,0.9119999999999999,0.94;0.94;0.90;0.88;0.90,0.8
241,23:44:39,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
242,23:46:05,11,0.9960000000000001,0.98;1.00;1.00;1.00;1.00,0.9090909090909091
243,23:47:39,245,0.5880000000000001,0.54;0.58;0.62;0.58;0.62,0.22857142857142856
244,23:48:43,5,0.536,0.66;0.60;0.44;0.44;0.54,0.8
245,23:50:31,240,0.5800000000000001,0.66;0.56;0.56;0.56;0.56,0.225
246,23:51:51,21,0.36400000000000005,0.42;0.34;0.34;0.32;0.40,0.47619047619047616
247,23:53:31,406,0.248,0.26;0.26;0.26;0.20;0.26,0.007389162561576354
248,23:54:29,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
249,23:55:32,5,0.636,0.72;0.68;0.54;0.60;0.64,0.6
250,23:56:59,247,0.5840000000000001,0.64;0.56;0.58;0.56;0.58,0.22267206477732793
251,23:58:35,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
252,23:59:44,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
